Title,Year,Participation,Type,Location,Event,Talk Type
Community engagement Oomycetes and western redcedar dieback,2023,In-Person,Oral,"Denver, Colorado",American Phytopathological Society annual conference,Conference
Western redcedar dieback in the urban environment,2023,In-Person,Oral,"Tacoma, Washington","Annual Training Conference, Pacific Northwest Chapter of the International Society of Arboriculture",Stakeholder Presentations
Sharing the responsibility of biosecurity: engaging communities in plant disease monitoring,2023,Virtual,Oral,N/A,"Canadian Phytopathological Society, British Columbia Regional Meeting",Invited Talk
Western redcedar dieback: open analyses of open data,2023,In-Person,Oral,"Seattle, Washington",Cascadia User Group of Open Source (CUGOS) meeting,Stakeholder Presentations
"Forest Health Watch, November Collaborator Updates",2023,Virtual,Oral,N/A,Forest Health Watch,Stakeholder Presentations
Urban forest equity and tree health in the Pacific Northwest,2023,In-Person,Oral,,"Highline College, Environmental Justice Week",Invited Talk
No-cost educational materials to amplify awareness and mitigate the impacts of invasive species,2023,In-Person,Oral,N/A,"Intertribal Agriculture Council, Pacific Northwest Region Meeting",Stakeholder Presentations
Backyard Citizen Science opportunities in the Northwest,2023,In-Person,Oral,N/A,Master Gardener Advanced Education Conference,Symposia
Monitoring tree health: community mapping to study western redcedar dieback,2023,In-Person,Oral,N/A,"Northwest Natural Resources Group, Fireside Chat",Stakeholder Presentations
Community minded scholarship: empowering people to address concerns with community science,2023,In-Person,Oral,,"Palouse Discovery Science Center, Science Pub",Invited Talk
Sentinel Plantings in Tacoma: a tool for detecting new arrivals of invasive species,2023,In-Person,Oral,"Tacoma, Washington","Port of Tacoma, Invasive Species Workshop",Stakeholder Presentations
Tacoma Sooty Bark Disease Vulnerability Study,2023,Virtual,Oral,N/A,Ravenholt Urban Forest Health Webinars,Stakeholder Presentations
Fungi and tree health in the Pacific Northwest,2023,In-Person,Oral,"Olympia, Washington",South Sound Mushroom Club,Stakeholder Presentations
Western redcedar dieback - open analyses of open data,2023,In-Person,Oral,"Tacoma, Washington",Washington GIS Association annual meeting,Conference
Summary of the 2023 Invasive Species Workshop and Webinars for Tribal Audiences,2023,In-Person,Oral,,Washington Invasive Species Council Meeting,Invited Talk
Emerging Diseases in the Pacific Northwest,2023,In-Person,Oral,N/A,Washington State University Extension Western Washington Family Field Day,Stakeholder Presentations
Citizen science and biosecurity- opportunities for plant disease monitoring and research,2023,Virtual,Oral,N/A,"Washington State University, Department of Plant Pathology Fall Seminar Series",Seminars and lab meetings
Community engagement can enhance biosurveillance,2023,In-Person,Oral,"Seattle, Washington",Western Forest Insect Work Conference,Conference
Community engagement for healthy forests,2023,In-Person,Oral,"Sonoma, California",Western International Forest Disease Work Conference,Conference
Identification of the sooty bark pathogen (Cryptostroma corticale) from hosts in multiple states,2023,In-Person,Poster,"Sonoma, California",Western International Forest Disease Work Conference,Conference
Detecting biological invasions with sentinel plantings at ports and urban points of dispersal in Washington State,2023,In-Person,Poster,"Sonoma, California",Western International Forest Disease Work Conference,Conference
Brief introduction to WSU /USDA APHIS INVASIVE Project,2022,In-Person,Oral,N/A,"Affiliated Tribes of Northwest Indians, Natural Resource Committee",Stakeholder Presentations
"Sooty Bark Disease in the Pacific Northwest, Integrated Pest Management and Recertification Webinar",2022,Virtual,Oral,N/A,City of Seattle,Stakeholder Presentations
"Forest Health Watch, Monthly Research Updates",2022,Virtual,Oral,N/A,Forest Health Watch,Public presentations
Citizen science approaches: mass participation or structured monitoring of invasive species,2022,Virtual,Oral,"London, United Kingdom",International Plant Health Conference,Conference
