Department,Academic Standing,Year in current position?,Do you have your own data?,Do you have a computer you can bring to the sessions?,Which sessions would you like to attend?,Have you used R before? ,"If so, how often? "
"Biochemistry, Genetics and Microbiology",PhD,Second year,Yes,Yes,"Introduction to using RStudio (April 23, 15:00-16:45);Introduction to data visualization with ggplot2 Part 1 (April 30, 15:00-16:45);Introduction to data visualization with ggplot2 Part 2 (May 7, 15:00-16:45);Introduction to data transformation with dplyr Part 2 (May 28, 15:00-16:45);Additional sessions if offered",No,1
Plant and Soil Sciences,PhD,Second year,Kind of,Yes,"Introduction to using RStudio (April 23, 15:00-16:45);Introduction to data visualization with ggplot2 Part 1 (April 30, 15:00-16:45);Introduction to data visualization with ggplot2 Part 2 (May 7, 15:00-16:45);Introduction to data transformation with dplyr Part 1 (May 21, 15:00-16:45);Introduction to data transformation with dplyr Part 2 (May 28, 15:00-16:45);Additional sessions if offered",Yes,1
"Biochemistry, Genetics and Microbiology",Honors,First year,No,Yes,"Introduction to using RStudio (April 23, 15:00-16:45);Introduction to data visualization with ggplot2 Part 1 (April 30, 15:00-16:45);Introduction to data visualization with ggplot2 Part 2 (May 7, 15:00-16:45);Introduction to data transformation with dplyr Part 1 (May 21, 15:00-16:45);Introduction to data transformation with dplyr Part 2 (May 28, 15:00-16:45);Additional sessions if offered",Yes,3
Zoology and Entomology,PhD,Second year,Yes,Yes,"Introduction to using RStudio (April 23, 15:00-16:45);Introduction to data visualization with ggplot2 Part 1 (April 30, 15:00-16:45);Introduction to data visualization with ggplot2 Part 2 (May 7, 15:00-16:45);Introduction to data transformation with dplyr Part 1 (May 21, 15:00-16:45);Introduction to data transformation with dplyr Part 2 (May 28, 15:00-16:45);Additional sessions if offered",No,
Plant and Soil Sciences,Postdoc,Fifth year,Kind of,Yes,"Introduction to using RStudio (April 23, 15:00-16:45);Introduction to data visualization with ggplot2 Part 1 (April 30, 15:00-16:45);Introduction to data visualization with ggplot2 Part 2 (May 7, 15:00-16:45);Introduction to data transformation with dplyr Part 1 (May 21, 15:00-16:45);Introduction to data transformation with dplyr Part 2 (May 28, 15:00-16:45);Additional sessions if offered",No,
Plant and Soil Sciences,PhD,Fourth year,Yes,Yes,"Introduction to using RStudio (April 23, 15:00-16:45);Introduction to data visualization with ggplot2 Part 1 (April 30, 15:00-16:45);Introduction to data visualization with ggplot2 Part 2 (May 7, 15:00-16:45);Introduction to data transformation with dplyr Part 1 (May 21, 15:00-16:45);Introduction to data transformation with dplyr Part 2 (May 28, 15:00-16:45);Additional sessions if offered",Yes,2
Plant and Soil Sciences,PhD,Fourth year,Kind of,Yes,"Introduction to using RStudio (April 23, 15:00-16:45)",Yes,2
"Biochemistry, Genetics and Microbiology",Postdoc,First year,Yes,Yes,"Introduction to using RStudio (April 23, 15:00-16:45);Introduction to data visualization with ggplot2 Part 1 (April 30, 15:00-16:45);Introduction to data visualization with ggplot2 Part 2 (May 7, 15:00-16:45);Introduction to data transformation with dplyr Part 1 (May 21, 15:00-16:45);Introduction to data transformation with dplyr Part 2 (May 28, 15:00-16:45);Additional sessions if offered",Not Sure,1
Plant and Soil Sciences,PhD,Second year,Yes,Yes,"Introduction to using RStudio (April 23, 15:00-16:45);Introduction to data visualization with ggplot2 Part 2 (May 7, 15:00-16:45);Introduction to data transformation with dplyr Part 1 (May 21, 15:00-16:45);Additional sessions if offered",Yes,5
Other,PhD,Staff,Kind of,Yes,"Introduction to using RStudio (April 23, 15:00-16:45);Introduction to data visualization with ggplot2 Part 1 (April 30, 15:00-16:45);Introduction to data visualization with ggplot2 Part 2 (May 7, 15:00-16:45);Introduction to data transformation with dplyr Part 1 (May 21, 15:00-16:45);Introduction to data transformation with dplyr Part 2 (May 28, 15:00-16:45);Additional sessions if offered",Yes,3
