Unique Sample Number,Days after inoculation,Date,Licor,Trial,Treatment,Species,Plant Number,Isolate Number,Unique Sample Number,Obs,Photosynthesis,Conductance,Ci
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,1,-1.257407129,-0.008756114,169.6851303
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,2,-0.455992996,-0.001057429,-286.0282094
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,3,-0.674633478,-0.000623729,-1315.123022
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,4,0.195827243,0.004572455,328.0514946
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,5,1.131559334,0.008387323,181.6787953
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,6,1.489296761,0.010670317,173.9482102
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,7,1.295605169,0.011803617,221.2762989
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,8,1.542454881,0.011809241,188.0848584
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,9,1.623742229,0.012303755,185.5769273
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,10,1.611275678,0.012889598,196.777744
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,11,1.810990481,0.013857728,187.6444283
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,12,3.257348291,0.016974024,89.69783684
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,13,2.003915039,0.017027816,204.7166481
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,14,1.600879517,0.008892011,110.057744
1DroughtControl9,3,6/2/18,6400,1,Drought,Control,9,,1,15,1.7986142,-0.000960449,3363.174202
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,1,3.1495023,0.054749019,301.78768
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,2,3.870225199,0.055556542,281.7701122
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,3,3.725673826,0.057904542,290.1651003
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,4,3.679562028,0.06173026,297.6993855
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,5,4.081005626,0.065885532,294.024313
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,6,5.191177865,0.053842966,238.0119372
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,7,5.086272939,0.077647072,286.9028212
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,8,5.774483595,0.084252491,281.4809292
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,9,5.858076518,0.094098838,291.0350664
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,10,6.539646408,0.093915738,279.3631346
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,11,7.706552015,0.063323594,195.4654772
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,12,7.540954372,0.105084596,274.5579048
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,13,8.046462158,0.111706004,273.2569269
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,14,8.621299896,0.11969155,272.5899789
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,15,9.150652186,0.121789534,267.3882269
1WetControl4,3,6/2/18,6400,1,Wet,Control,4,,2,16,9.033756793,0.122922668,269.917105
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,1,1.145928224,0.000407974,-4050.458451
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,2,0.822435141,0.00045475,-2467.03576
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,3,0.838279611,0.00067332,-1575.086478
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,4,1.28940692,0.000470876,-3938.661063
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,5,1.333933763,0.00067627,-2726.577804
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,6,1.160148223,0.002413163,-365.7830659
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,7,1.661962145,0.003447986,-367.9843748
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,8,1.593952471,0.003746124,-278.5077048
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,9,1.686115801,0.003593793,-347.7591038
1DroughtIndigenous Pathogen 1,9,6/8/18,6400,1,Drought,Indigenous Pathogen ,1,1,3,10,1.66883328,0.003523824,-354.7338263
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,1,0.179207612,0.006978198,353.3525861
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,2,0.149675381,0.010031038,370.2275211
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,3,2.016322274,0.008898597,32.98082495
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,4,0.584431646,0.012160806,316.1604745
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,5,1.255874725,0.009820072,190.1646993
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,6,0.916415429,0.011391739,266.2868191
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,7,2.427442651,0.010502976,25.94239026
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,8,0.354838922,0.013306425,350.3331286
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,9,1.873959752,0.012185354,149.7919682
1DroughtControl6,35,7/4/18,6400,1,Drought,Control,6,,4,10,1.131002622,0.011199154,231.1620412
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,1,6.199878974,0.029128607,54.69763703
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,2,5.848610473,0.029782269,81.03109944
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,3,6.042712816,0.028315305,53.95333641
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,4,6.275985942,0.029589234,55.8825477
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,5,5.970722003,0.030279169,79.53741493
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,6,6.248620409,0.031145337,74.01713127
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,7,6.496226701,0.031287374,62.75032784
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,8,6.866771979,0.032163546,53.3848627
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,9,6.374064896,0.031986356,75.98448456
1DroughtControl8,9,6/8/18,6400,1,Drought,Control,8,,5,10,6.786697277,0.032409755,59.75497231
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,1,3.142259359,0.003105199,-1209.976059
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,2,2.443323407,0.015877088,151.9370122
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,3,2.128772694,0.016849743,195.6219841
1DroughtExotic Pathogen 3,9,6/8/18,6400,1,Drought,Exotic Pathogen ,3,2,6,4,3.436691515,0.022673233,155.5478895
